NAME                                                   ROLE                                                               AGE
cluster-admin                                          ClusterRole/cluster-admin                                          4h28m
system:monitoring                                      ClusterRole/system:monitoring                                      4h28m
system:discovery                                       ClusterRole/system:discovery                                       4h28m
system:basic-user                                      ClusterRole/system:basic-user                                      4h28m
system:public-info-viewer                              ClusterRole/system:public-info-viewer                              4h28m
system:node-proxier                                    ClusterRole/system:node-proxier                                    4h28m
system:kube-controller-manager                         ClusterRole/system:kube-controller-manager                         4h28m
system:kube-dns                                        ClusterRole/system:kube-dns                                        4h28m
system:kube-scheduler                                  ClusterRole/system:kube-scheduler                                  4h28m
system:volume-scheduler                                ClusterRole/system:volume-scheduler                                4h28m
system:node                                            ClusterRole/system:node                                            4h28m
system:service-account-issuer-discovery                ClusterRole/system:service-account-issuer-discovery                4h28m
system:controller:attachdetach-controller              ClusterRole/system:controller:attachdetach-controller              4h28m
system:controller:clusterrole-aggregation-controller   ClusterRole/system:controller:clusterrole-aggregation-controller   4h28m
system:controller:cronjob-controller                   ClusterRole/system:controller:cronjob-controller                   4h28m
system:controller:daemon-set-controller                ClusterRole/system:controller:daemon-set-controller                4h28m
system:controller:deployment-controller                ClusterRole/system:controller:deployment-controller                4h28m
system:controller:disruption-controller                ClusterRole/system:controller:disruption-controller                4h28m
system:controller:endpoint-controller                  ClusterRole/system:controller:endpoint-controller                  4h28m
system:controller:endpointslice-controller             ClusterRole/system:controller:endpointslice-controller             4h28m
system:controller:endpointslicemirroring-controller    ClusterRole/system:controller:endpointslicemirroring-controller    4h28m
system:controller:expand-controller                    ClusterRole/system:controller:expand-controller                    4h28m
system:controller:ephemeral-volume-controller          ClusterRole/system:controller:ephemeral-volume-controller          4h28m
system:controller:generic-garbage-collector            ClusterRole/system:controller:generic-garbage-collector            4h28m
system:controller:horizontal-pod-autoscaler            ClusterRole/system:controller:horizontal-pod-autoscaler            4h28m
system:controller:job-controller                       ClusterRole/system:controller:job-controller                       4h28m
system:controller:namespace-controller                 ClusterRole/system:controller:namespace-controller                 4h28m
system:controller:node-controller                      ClusterRole/system:controller:node-controller                      4h28m
system:controller:persistent-volume-binder             ClusterRole/system:controller:persistent-volume-binder             4h28m
system:controller:pod-garbage-collector                ClusterRole/system:controller:pod-garbage-collector                4h28m
system:controller:replicaset-controller                ClusterRole/system:controller:replicaset-controller                4h28m
system:controller:replication-controller               ClusterRole/system:controller:replication-controller               4h28m
system:controller:resourcequota-controller             ClusterRole/system:controller:resourcequota-controller             4h28m
system:controller:route-controller                     ClusterRole/system:controller:route-controller                     4h28m
system:controller:service-account-controller           ClusterRole/system:controller:service-account-controller           4h28m
system:controller:service-controller                   ClusterRole/system:controller:service-controller                   4h28m
system:controller:statefulset-controller               ClusterRole/system:controller:statefulset-controller               4h28m
system:controller:ttl-controller                       ClusterRole/system:controller:ttl-controller                       4h28m
system:controller:certificate-controller               ClusterRole/system:controller:certificate-controller               4h28m
system:controller:pvc-protection-controller            ClusterRole/system:controller:pvc-protection-controller            4h28m
system:controller:pv-protection-controller             ClusterRole/system:controller:pv-protection-controller             4h28m
system:controller:ttl-after-finished-controller        ClusterRole/system:controller:ttl-after-finished-controller        4h28m
system:controller:root-ca-cert-publisher               ClusterRole/system:controller:root-ca-cert-publisher               4h28m
k3s-cloud-controller-manager                           ClusterRole/k3s-cloud-controller-manager                           4h28m
k3s-cloud-controller-manager-auth-delegator            ClusterRole/system:auth-delegator                                  4h28m
system:coredns                                         ClusterRole/system:coredns                                         4h28m
local-path-provisioner-bind                            ClusterRole/local-path-provisioner-role                            4h28m
clustercidrs-node                                      ClusterRole/clustercidrs-node                                      4h28m
kube-apiserver-kubelet-admin                           ClusterRole/system:kubelet-api-admin                               4h28m
system:k3s-controller                                  ClusterRole/system:k3s-controller                                  4h28m
reloader-reloader-role-binding                         ClusterRole/reloader-reloader-role                                 4h26m
reflector                                              ClusterRole/reflector                                              4h26m
postgres-operator-ui                                   ClusterRole/postgres-operator-ui                                   4h26m
postgres-operator                                      ClusterRole/postgres-operator                                      4h26m
vector                                                 ClusterRole/vector                                                 4h24m
k8s-event-logger                                       ClusterRole/k8s-event-logger                                       4h24m
argo-rollouts                                          ClusterRole/argo-rollouts                                          4h24m
kube-prometheus-stack-grafana-clusterrolebinding       ClusterRole/kube-prometheus-stack-grafana-clusterrole              4h24m
prometheus-k8s                                         ClusterRole/prometheus-k8s                                         4h24m
kube-prometheus-stack-kube-state-metrics               ClusterRole/kube-prometheus-stack-kube-state-metrics               4h24m
system:metrics-server                                  ClusterRole/system:metrics-server                                  4h21m
metrics-server:system:auth-delegator                   ClusterRole/system:auth-delegator                                  4h21m
ingress-nginx                                          ClusterRole/ingress-nginx                                          4h21m
argocd-application-controller                          ClusterRole/argocd-application-controller                          4h27m
argocd-server                                          ClusterRole/argocd-server                                          4h27m
kube-prometheus-stack-operator                         ClusterRole/kube-prometheus-stack-operator                         4h24m
kube-prometheus-stack-prometheus                       ClusterRole/kube-prometheus-stack-prometheus                       4h24m
