NAMESPACE         NAME                                             SECRETS   AGE
kube-system       pvc-protection-controller                        0         70m
kube-system       pod-garbage-collector                            0         70m
kube-system       service-account-controller                       0         70m
kube-system       statefulset-controller                           0         70m
kube-system       node-controller                                  0         70m
kube-system       token-cleaner                                    0         70m
kube-system       coredns                                          0         70m
kube-system       local-path-provisioner-service-account           0         70m
kube-system       svclb                                            0         70m
kube-system       pv-protection-controller                         0         70m
kube-system       root-ca-cert-publisher                           0         70m
kube-system       endpointslice-controller                         0         70m
kube-system       resourcequota-controller                         0         70m
kube-system       generic-garbage-collector                        0         70m
kube-system       disruption-controller                            0         70m
kube-system       ephemeral-volume-controller                      0         70m
kube-system       replicaset-controller                            0         70m
kube-system       ttl-controller                                   0         70m
kube-system       expand-controller                                0         70m
kube-system       clusterrole-aggregation-controller               0         70m
kube-system       endpoint-controller                              0         70m
kube-system       namespace-controller                             0         70m
kube-system       deployment-controller                            0         70m
kube-system       horizontal-pod-autoscaler                        0         70m
kube-system       certificate-controller                           0         70m
kube-system       attachdetach-controller                          0         70m
kube-system       ttl-after-finished-controller                    0         70m
kube-system       persistent-volume-binder                         0         69m
kube-system       cronjob-controller                               0         69m
kube-system       endpointslicemirroring-controller                0         69m
kube-system       replication-controller                           0         69m
kube-system       daemon-set-controller                            0         69m
kube-system       job-controller                                   0         69m
default           default                                          0         69m
kube-node-lease   default                                          0         69m
kube-public       default                                          0         69m
kube-system       default                                          0         69m
argocd            default                                          0         69m
argocd            argocd-notifications-controller                  0         69m
argocd            argocd-dex-server                                0         69m
argocd            argocd-applicationset-controller                 0         69m
argocd            argocd-application-controller                    0         69m
kube-system       reloader-reloader                                0         68m
kube-system       reflector                                        0         68m
argocd            argocd-server                                    0         69m
argocd            argocd-redis                                     0         69m
argocd            argocd-repo-server                               0         69m
databases         default                                          0         68m
databases         postgres-operator                                0         68m
databases         postgres-operator-ui                             0         68m
example           default                                          0         67m
example           postgres-pod                                     0         67m
development       default                                          0         66m
monitoring        vector                                           0         66m
monitoring        default                                          0         66m
monitoring        loki-loki-distributed                            0         66m
monitoring        k8s-event-logger                                 0         66m
argo-rollouts     default                                          0         66m
argo-rollouts     argo-rollouts                                    0         66m
monitoring        kube-prometheus-stack-alertmanager               0         66m
monitoring        kube-prometheus-stack-operator                   0         66m
monitoring        kube-prometheus-stack-prometheus                 0         66m
monitoring        kube-prometheus-stack-grafana                    0         66m
monitoring        prometheus-k8s                                   0         66m
monitoring        kube-prometheus-stack-kube-state-metrics         0         66m
monitoring        kube-prometheus-stack-prometheus-node-exporter   0         66m
kube-system       metrics-server                                   0         63m
kube-system       ingress-nginx-backend                            0         63m
kube-system       ingress-nginx                                    0         63m
