NAMESPACE       NAME                                             TYPE           CLUSTER-IP      EXTERNAL-IP   PORT(S)                        AGE
default         kubernetes                                       ClusterIP      10.43.0.1       <none>        443/TCP                        20h
kube-system     kube-dns                                         ClusterIP      10.43.0.10      <none>        53/UDP,53/TCP,9153/TCP         20h
monitoring      vector-headless                                  ClusterIP      None            <none>        9090/TCP                       20h
monitoring      vector                                           ClusterIP      10.43.169.1     <none>        9090/TCP                       20h
development     podinfo                                          ClusterIP      10.43.108.11    <none>        9898/TCP,9999/TCP              20h
databases       postgres-operator                                ClusterIP      10.43.79.57     <none>        8080/TCP                       20h
databases       postgres-operator-ui                             ClusterIP      10.43.18.186    <none>        80/TCP                         20h
kube-system     metrics-server                                   ClusterIP      10.43.125.134   <none>        443/TCP                        20h
kube-system     kube-prometheus-stack-kubelet                    ClusterIP      None            <none>        10250/TCP,10255/TCP,4194/TCP   20h
argo-rollouts   argo-rollouts-metrics                            ClusterIP      10.43.123.165   <none>        8090/TCP                       20h
kube-system     ingress-nginx-controller-metrics                 ClusterIP      10.43.249.0     <none>        10254/TCP                      20h
kube-system     ingress-nginx-controller-admission               ClusterIP      10.43.252.254   <none>        443/TCP                        20h
kube-system     ingress-nginx-defaultbackend                     ClusterIP      10.43.98.66     <none>        80/TCP                         20h
example         whoami-svc                                       ClusterIP      10.43.1.66      <none>        80/TCP                         20h
example         minimal-db                                       ClusterIP      10.43.60.231    <none>        5432/TCP                       20h
example         minimal-db-repl                                  ClusterIP      10.43.122.129   <none>        5432/TCP                       20h
logging         loki-backend                                     ClusterIP      10.43.76.79     <none>        3100/TCP,9095/TCP              20h
logging         loki-memberlist                                  ClusterIP      None            <none>        7946/TCP                       20h
logging         loki-minio                                       ClusterIP      10.43.54.85     <none>        9000/TCP                       20h
logging         loki-read-headless                               ClusterIP      None            <none>        3100/TCP,9095/TCP              20h
logging         loki-write                                       ClusterIP      10.43.254.180   <none>        3100/TCP,9095/TCP              20h
logging         loki-minio-console                               ClusterIP      10.43.155.109   <none>        9001/TCP                       20h
logging         loki-gateway                                     ClusterIP      10.43.77.138    <none>        80/TCP                         20h
logging         loki-backend-headless                            ClusterIP      None            <none>        3100/TCP,9095/TCP              20h
logging         loki-read                                        ClusterIP      10.43.149.207   <none>        3100/TCP,9095/TCP              20h
logging         loki-write-headless                              ClusterIP      None            <none>        3100/TCP,9095/TCP              20h
logging         query-scheduler-discovery                        ClusterIP      None            <none>        3100/TCP,9095/TCP              20h
monitoring      kube-prometheus-stack-grafana-image-renderer     ClusterIP      10.43.62.137    <none>        8081/TCP                       20h
monitoring      kube-prometheus-stack-prometheus                 ClusterIP      10.43.5.32      <none>        9090/TCP,8080/TCP,10901/TCP    20h
monitoring      kube-prometheus-stack-grafana                    ClusterIP      10.43.197.131   <none>        80/TCP                         20h
kube-system     kube-prometheus-stack-kube-proxy                 ClusterIP      None            <none>        10249/TCP                      20h
monitoring      kube-prometheus-stack-operator                   ClusterIP      10.43.213.220   <none>        443/TCP                        20h
kube-system     kube-prometheus-stack-kube-controller-manager    ClusterIP      None            <none>        10257/TCP                      20h
kube-system     kube-prometheus-stack-kube-etcd                  ClusterIP      None            <none>        2381/TCP                       20h
kube-system     kube-prometheus-stack-coredns                    ClusterIP      None            <none>        9153/TCP                       20h
kube-system     kube-prometheus-stack-kube-scheduler             ClusterIP      None            <none>        10259/TCP                      20h
monitoring      kube-prometheus-stack-kube-state-metrics         ClusterIP      10.43.206.17    <none>        8080/TCP                       20h
monitoring      kube-prometheus-stack-prometheus-node-exporter   ClusterIP      10.43.30.205    <none>        9100/TCP                       20h
monitoring      kube-prometheus-stack-alertmanager               ClusterIP      10.43.168.15    <none>        9093/TCP,8080/TCP              20h
monitoring      alertmanager-operated                            ClusterIP      None            <none>        9093/TCP,9094/TCP,9094/UDP     20h
monitoring      prometheus-operated                              ClusterIP      None            <none>        9090/TCP                       20h
cert-manager    cert-manager-webhook                             ClusterIP      10.43.237.29    <none>        443/TCP                        3h28m
cert-manager    cert-manager                                     ClusterIP      10.43.104.24    <none>        9402/TCP                       3h28m
argocd          argocd-notifications-controller-metrics          ClusterIP      10.43.189.217   <none>        9001/TCP                       20h
argocd          argocd-repo-server                               ClusterIP      10.43.133.203   <none>        8081/TCP,8084/TCP              20h
argocd          argocd-metrics                                   ClusterIP      10.43.177.224   <none>        8082/TCP                       20h
argocd          argocd-applicationset-controller                 ClusterIP      10.43.212.239   <none>        7000/TCP,8080/TCP              20h
argocd          argocd-redis                                     ClusterIP      10.43.29.188    <none>        6379/TCP                       20h
argocd          argocd-dex-server                                ClusterIP      10.43.242.221   <none>        5556/TCP,5557/TCP,5558/TCP     20h
argocd          argocd-server-metrics                            ClusterIP      10.43.101.25    <none>        8083/TCP                       20h
argocd          argocd-server                                    ClusterIP      10.43.89.138    <none>        80/TCP,443/TCP                 20h
kube-system     ingress-nginx-controller                         LoadBalancer   10.43.68.151    172.24.0.3    80:30992/TCP,443:30391/TCP     20h
